日期,年度,季度,月份,日,年度季度,年度月份,星期几
2014/7/6,2014,Q3,7,6,2014Q3,201407,7
2014/7/7,2014,Q3,7,7,2014Q3,201407,1
2014/7/8,2014,Q3,7,8,2014Q3,201407,2
2014/7/9,2014,Q3,7,9,2014Q3,201407,3
2014/7/10,2014,Q3,7,10,2014Q3,201407,4
2014/7/11,2014,Q3,7,11,2014Q3,201407,5
2014/7/12,2014,Q3,7,12,2014Q3,201407,6
2014/7/13,2014,Q3,7,13,2014Q3,201407,7
2014/7/14,2014,Q3,7,14,2014Q3,201407,1
2014/7/15,2014,Q3,7,15,2014Q3,201407,2
2014/7/16,2014,Q3,7,16,2014Q3,201407,3
2014/7/17,2014,Q3,7,17,2014Q3,201407,4
2014/7/18,2014,Q3,7,18,2014Q3,201407,5
2014/7/19,2014,Q3,7,19,2014Q3,201407,6
2014/7/20,2014,Q3,7,20,2014Q3,201407,7
2014/7/21,2014,Q3,7,21,2014Q3,201407,1
2014/7/22,2014,Q3,7,22,2014Q3,201407,2
2014/7/23,2014,Q3,7,23,2014Q3,201407,3
2014/7/24,2014,Q3,7,24,2014Q3,201407,4
2014/7/25,2014,Q3,7,25,2014Q3,201407,5
2014/7/26,2014,Q3,7,26,2014Q3,201407,6
2014/7/27,2014,Q3,7,27,2014Q3,201407,7
2014/7/28,2014,Q3,7,28,2014Q3,201407,1
2014/7/29,2014,Q3,7,29,2014Q3,201407,2
2014/7/30,2014,Q3,7,30,2014Q3,201407,3
2014/7/31,2014,Q3,7,31,2014Q3,201407,4
2015/7/1,2015,Q3,7,1,2015Q3,201507,3
2015/7/2,2015,Q3,7,2,2015Q3,201507,4
2015/7/3,2015,Q3,7,3,2015Q3,201507,5
2015/7/4,2015,Q3,7,4,2015Q3,201507,6
2015/7/5,2015,Q3,7,5,2015Q3,201507,7
2015/7/6,2015,Q3,7,6,2015Q3,201507,1
2015/7/7,2015,Q3,7,7,2015Q3,201507,2
2015/7/8,2015,Q3,7,8,2015Q3,201507,3
2015/7/9,2015,Q3,7,9,2015Q3,201507,4
2015/7/10,2015,Q3,7,10,2015Q3,201507,5
2015/7/11,2015,Q3,7,11,2015Q3,201507,6
2015/7/12,2015,Q3,7,12,2015Q3,201507,7
2015/7/13,2015,Q3,7,13,2015Q3,201507,1
2015/7/14,2015,Q3,7,14,2015Q3,201507,2
2015/7/15,2015,Q3,7,15,2015Q3,201507,3
2015/7/16,2015,Q3,7,16,2015Q3,201507,4
2015/7/17,2015,Q3,7,17,2015Q3,201507,5
2015/7/18,2015,Q3,7,18,2015Q3,201507,6
2015/7/19,2015,Q3,7,19,2015Q3,201507,7
2015/7/20,2015,Q3,7,20,2015Q3,201507,1
2015/7/21,2015,Q3,7,21,2015Q3,201507,2
2015/7/22,2015,Q3,7,22,2015Q3,201507,3
2015/7/23,2015,Q3,7,23,2015Q3,201507,4
2015/7/24,2015,Q3,7,24,2015Q3,201507,5
2015/7/25,2015,Q3,7,25,2015Q3,201507,6
2015/7/26,2015,Q3,7,26,2015Q3,201507,7
2015/7/27,2015,Q3,7,27,2015Q3,201507,1
2015/7/28,2015,Q3,7,28,2015Q3,201507,2
2015/7/29,2015,Q3,7,29,2015Q3,201507,3
2015/7/30,2015,Q3,7,30,2015Q3,201507,4
2015/7/31,2015,Q3,7,31,2015Q3,201507,5
2016/7/1,2016,Q3,7,1,2016Q3,201607,5
2016/7/2,2016,Q3,7,2,2016Q3,201607,6
2016/7/3,2016,Q3,7,3,2016Q3,201607,7
2016/7/4,2016,Q3,7,4,2016Q3,201607,1
2016/7/5,2016,Q3,7,5,2016Q3,201607,2
2016/7/6,2016,Q3,7,6,2016Q3,201607,3
2016/7/7,2016,Q3,7,7,2016Q3,201607,4
2016/7/8,2016,Q3,7,8,2016Q3,201607,5
2016/7/9,2016,Q3,7,9,2016Q3,201607,6
2016/7/10,2016,Q3,7,10,2016Q3,201607,7
2016/7/11,2016,Q3,7,11,2016Q3,201607,1
2016/7/12,2016,Q3,7,12,2016Q3,201607,2
2016/7/13,2016,Q3,7,13,2016Q3,201607,3
2016/7/14,2016,Q3,7,14,2016Q3,201607,4
2016/7/15,2016,Q3,7,15,2016Q3,201607,5
2016/7/16,2016,Q3,7,16,2016Q3,201607,6
2016/7/17,2016,Q3,7,17,2016Q3,201607,7
2016/7/18,2016,Q3,7,18,2016Q3,201607,1
2016/7/19,2016,Q3,7,19,2016Q3,201607,2
2016/7/20,2016,Q3,7,20,2016Q3,201607,3
2016/7/21,2016,Q3,7,21,2016Q3,201607,4
2016/7/22,2016,Q3,7,22,2016Q3,201607,5
2016/7/23,2016,Q3,7,23,2016Q3,201607,6
2016/7/24,2016,Q3,7,24,2016Q3,201607,7
2016/7/25,2016,Q3,7,25,2016Q3,201607,1
2016/7/26,2016,Q3,7,26,2016Q3,201607,2
2016/7/27,2016,Q3,7,27,2016Q3,201607,3
2016/7/28,2016,Q3,7,28,2016Q3,201607,4
2016/7/29,2016,Q3,7,29,2016Q3,201607,5
2016/7/30,2016,Q3,7,30,2016Q3,201607,6
2016/7/31,2016,Q3,7,31,2016Q3,201607,7
2013/8/1,2013,Q3,8,1,2013Q3,201308,4
2013/8/2,2013,Q3,8,2,2013Q3,201308,5
2013/8/3,2013,Q3,8,3,2013Q3,201308,6
2013/8/4,2013,Q3,8,4,2013Q3,201308,7
2013/8/5,2013,Q3,8,5,2013Q3,201308,1
2013/8/6,2013,Q3,8,6,2013Q3,201308,2
2013/8/7,2013,Q3,8,7,2013Q3,201308,3
2013/8/8,2013,Q3,8,8,2013Q3,201308,4
2013/8/9,2013,Q3,8,9,2013Q3,201308,5
2013/8/10,2013,Q3,8,10,2013Q3,201308,6
2013/8/11,2013,Q3,8,11,2013Q3,201308,7
2013/8/12,2013,Q3,8,12,2013Q3,201308,1
2013/8/13,2013,Q3,8,13,2013Q3,201308,2
2013/8/14,2013,Q3,8,14,2013Q3,201308,3
2013/8/15,2013,Q3,8,15,2013Q3,201308,4
2013/8/16,2013,Q3,8,16,2013Q3,201308,5
2013/8/17,2013,Q3,8,17,2013Q3,201308,6
2013/8/18,2013,Q3,8,18,2013Q3,201308,7
2013/8/19,2013,Q3,8,19,2013Q3,201308,1
2013/8/20,2013,Q3,8,20,2013Q3,201308,2
2013/8/21,2013,Q3,8,21,2013Q3,201308,3
2013/8/22,2013,Q3,8,22,2013Q3,201308,4
2013/8/23,2013,Q3,8,23,2013Q3,201308,5
2013/8/24,2013,Q3,8,24,2013Q3,201308,6
2013/8/25,2013,Q3,8,25,2013Q3,201308,7
2013/8/26,2013,Q3,8,26,2013Q3,201308,1
2013/8/27,2013,Q3,8,27,2013Q3,201308,2
2013/8/28,2013,Q3,8,28,2013Q3,201308,3
2013/8/29,2013,Q3,8,29,2013Q3,201308,4
2013/8/30,2013,Q3,8,30,2013Q3,201308,5
2013/8/31,2013,Q3,8,31,2013Q3,201308,6
2014/8/1,2014,Q3,8,1,2014Q3,201408,5
2014/8/2,2014,Q3,8,2,2014Q3,201408,6
2014/8/3,2014,Q3,8,3,2014Q3,201408,7
2014/8/4,2014,Q3,8,4,2014Q3,201408,1
2014/8/5,2014,Q3,8,5,2014Q3,201408,2
2014/8/6,2014,Q3,8,6,2014Q3,201408,3
2014/8/7,2014,Q3,8,7,2014Q3,201408,4
2014/8/8,2014,Q3,8,8,2014Q3,201408,5
2014/8/9,2014,Q3,8,9,2014Q3,201408,6
2014/8/10,2014,Q3,8,10,2014Q3,201408,7
2014/8/11,2014,Q3,8,11,2014Q3,201408,1
2014/8/12,2014,Q3,8,12,2014Q3,201408,2
2014/8/13,2014,Q3,8,13,2014Q3,201408,3
2014/8/14,2014,Q3,8,14,2014Q3,201408,4
2014/8/15,2014,Q3,8,15,2014Q3,201408,5
2014/8/16,2014,Q3,8,16,2014Q3,201408,6
2014/8/17,2014,Q3,8,17,2014Q3,201408,7
2014/8/18,2014,Q3,8,18,2014Q3,201408,1
2014/8/19,2014,Q3,8,19,2014Q3,201408,2
2014/8/20,2014,Q3,8,20,2014Q3,201408,3
2014/8/21,2014,Q3,8,21,2014Q3,201408,4
2014/8/22,2014,Q3,8,22,2014Q3,201408,5
2014/8/23,2014,Q3,8,23,2014Q3,201408,6
2014/8/24,2014,Q3,8,24,2014Q3,201408,7
2014/8/25,2014,Q3,8,25,2014Q3,201408,1
2014/8/26,2014,Q3,8,26,2014Q3,201408,2
2014/8/27,2014,Q3,8,27,2014Q3,201408,3
2014/8/28,2014,Q3,8,28,2014Q3,201408,4
2014/8/29,2014,Q3,8,29,2014Q3,201408,5
2014/8/30,2014,Q3,8,30,2014Q3,201408,6
2014/8/31,2014,Q3,8,31,2014Q3,201408,7
2015/8/1,2015,Q3,8,1,2015Q3,201508,6
2015/8/2,2015,Q3,8,2,2015Q3,201508,7
2015/8/3,2015,Q3,8,3,2015Q3,201508,1
2015/8/4,2015,Q3,8,4,2015Q3,201508,2
2015/8/5,2015,Q3,8,5,2015Q3,201508,3
2015/8/6,2015,Q3,8,6,2015Q3,201508,4
2015/8/7,2015,Q3,8,7,2015Q3,201508,5
2015/8/8,2015,Q3,8,8,2015Q3,201508,6
2015/8/9,2015,Q3,8,9,2015Q3,201508,7
2015/8/10,2015,Q3,8,10,2015Q3,201508,1
2015/8/11,2015,Q3,8,11,2015Q3,201508,2
2015/8/12,2015,Q3,8,12,2015Q3,201508,3
2015/8/13,2015,Q3,8,13,2015Q3,201508,4
2015/8/14,2015,Q3,8,14,2015Q3,201508,5
2015/8/15,2015,Q3,8,15,2015Q3,201508,6
2015/8/16,2015,Q3,8,16,2015Q3,201508,7
2015/8/17,2015,Q3,8,17,2015Q3,201508,1
2015/8/18,2015,Q3,8,18,2015Q3,201508,2
2015/8/19,2015,Q3,8,19,2015Q3,201508,3
2015/8/20,2015,Q3,8,20,2015Q3,201508,4
2015/8/21,2015,Q3,8,21,2015Q3,201508,5
2015/8/22,2015,Q3,8,22,2015Q3,201508,6
2015/8/23,2015,Q3,8,23,2015Q3,201508,7
2015/8/24,2015,Q3,8,24,2015Q3,201508,1
2015/8/25,2015,Q3,8,25,2015Q3,201508,2
2015/8/26,2015,Q3,8,26,2015Q3,201508,3
2015/8/27,2015,Q3,8,27,2015Q3,201508,4
2015/8/28,2015,Q3,8,28,2015Q3,201508,5
2015/8/29,2015,Q3,8,29,2015Q3,201508,6
2015/8/30,2015,Q3,8,30,2015Q3,201508,7
2015/8/31,2015,Q3,8,31,2015Q3,201508,1
2016/8/1,2016,Q3,8,1,2016Q3,201608,1
2016/8/2,2016,Q3,8,2,2016Q3,201608,2
2016/8/3,2016,Q3,8,3,2016Q3,201608,3
2016/8/4,2016,Q3,8,4,2016Q3,201608,4
2016/8/5,2016,Q3,8,5,2016Q3,201608,5
2016/8/6,2016,Q3,8,6,2016Q3,201608,6
2016/8/7,2016,Q3,8,7,2016Q3,201608,7
2016/8/8,2016,Q3,8,8,2016Q3,201608,1
2016/8/9,2016,Q3,8,9,2016Q3,201608,2
2016/8/10,2016,Q3,8,10,2016Q3,201608,3
2016/8/11,2016,Q3,8,11,2016Q3,201608,4
2016/8/12,2016,Q3,8,12,2016Q3,201608,5
2016/8/13,2016,Q3,8,13,2016Q3,201608,6
2016/8/14,2016,Q3,8,14,2016Q3,201608,7
2016/8/15,2016,Q3,8,15,2016Q3,201608,1
2016/8/16,2016,Q3,8,16,2016Q3,201608,2
2016/8/17,2016,Q3,8,17,2016Q3,201608,3
2016/8/18,2016,Q3,8,18,2016Q3,201608,4
2016/8/19,2016,Q3,8,19,2016Q3,201608,5
2016/8/20,2016,Q3,8,20,2016Q3,201608,6
2016/8/21,2016,Q3,8,21,2016Q3,201608,7
2016/8/22,2016,Q3,8,22,2016Q3,201608,1
2016/8/23,2016,Q3,8,23,2016Q3,201608,2
2016/8/24,2016,Q3,8,24,2016Q3,201608,3
2016/8/25,2016,Q3,8,25,2016Q3,201608,4
2016/8/26,2016,Q3,8,26,2016Q3,201608,5
2016/8/27,2016,Q3,8,27,2016Q3,201608,6
2016/8/28,2016,Q3,8,28,2016Q3,201608,7
2016/8/29,2016,Q3,8,29,2016Q3,201608,1
2016/8/30,2016,Q3,8,30,2016Q3,201608,2
2016/8/31,2016,Q3,8,31,2016Q3,201608,3
2013/9/1,2013,Q3,9,1,2013Q3,201309,7
2013/9/2,2013,Q3,9,2,2013Q3,201309,1
2013/9/3,2013,Q3,9,3,2013Q3,201309,2
2013/9/4,2013,Q3,9,4,2013Q3,201309,3
2013/9/5,2013,Q3,9,5,2013Q3,201309,4
2013/9/6,2013,Q3,9,6,2013Q3,201309,5
2013/9/7,2013,Q3,9,7,2013Q3,201309,6
2013/9/8,2013,Q3,9,8,2013Q3,201309,7
2013/9/9,2013,Q3,9,9,2013Q3,201309,1
2013/9/10,2013,Q3,9,10,2013Q3,201309,2
2013/9/11,2013,Q3,9,11,2013Q3,201309,3
2013/9/12,2013,Q3,9,12,2013Q3,201309,4
2013/9/13,2013,Q3,9,13,2013Q3,201309,5
2013/9/14,2013,Q3,9,14,2013Q3,201309,6
2013/9/15,2013,Q3,9,15,2013Q3,201309,7
2013/9/16,2013,Q3,9,16,2013Q3,201309,1
2013/9/17,2013,Q3,9,17,2013Q3,201309,2
2013/9/18,2013,Q3,9,18,2013Q3,201309,3
2013/9/19,2013,Q3,9,19,2013Q3,201309,4
2013/9/20,2013,Q3,9,20,2013Q3,201309,5
2013/9/21,2013,Q3,9,21,2013Q3,201309,6
2013/9/22,2013,Q3,9,22,2013Q3,201309,7
2013/9/23,2013,Q3,9,23,2013Q3,201309,1
2013/9/24,2013,Q3,9,24,2013Q3,201309,2
2013/9/25,2013,Q3,9,25,2013Q3,201309,3
2013/9/26,2013,Q3,9,26,2013Q3,201309,4
2013/9/27,2013,Q3,9,27,2013Q3,201309,5
2013/9/28,2013,Q3,9,28,2013Q3,201309,6
2013/9/29,2013,Q3,9,29,2013Q3,201309,7
2013/9/30,2013,Q3,9,30,2013Q3,201309,1
2014/9/1,2014,Q3,9,1,2014Q3,201409,1
2014/9/2,2014,Q3,9,2,2014Q3,201409,2
2014/9/3,2014,Q3,9,3,2014Q3,201409,3
2014/9/4,2014,Q3,9,4,2014Q3,201409,4
2014/9/5,2014,Q3,9,5,2014Q3,201409,5
2014/9/6,2014,Q3,9,6,2014Q3,201409,6
2014/9/7,2014,Q3,9,7,2014Q3,201409,7
2014/9/8,2014,Q3,9,8,2014Q3,201409,1
2014/9/9,2014,Q3,9,9,2014Q3,201409,2
2014/9/10,2014,Q3,9,10,2014Q3,201409,3
2014/9/11,2014,Q3,9,11,2014Q3,201409,4
2014/9/12,2014,Q3,9,12,2014Q3,201409,5
2014/9/13,2014,Q3,9,13,2014Q3,201409,6
2014/9/14,2014,Q3,9,14,2014Q3,201409,7
2014/9/15,2014,Q3,9,15,2014Q3,201409,1
2014/9/16,2014,Q3,9,16,2014Q3,201409,2
2014/9/17,2014,Q3,9,17,2014Q3,201409,3
2014/9/18,2014,Q3,9,18,2014Q3,201409,4
2014/9/19,2014,Q3,9,19,2014Q3,201409,5
2014/9/20,2014,Q3,9,20,2014Q3,201409,6
2014/9/21,2014,Q3,9,21,2014Q3,201409,7
2014/9/22,2014,Q3,9,22,2014Q3,201409,1
2014/9/23,2014,Q3,9,23,2014Q3,201409,2
2014/9/24,2014,Q3,9,24,2014Q3,201409,3
2014/9/25,2014,Q3,9,25,2014Q3,201409,4
2014/9/26,2014,Q3,9,26,2014Q3,201409,5
2014/9/27,2014,Q3,9,27,2014Q3,201409,6
2014/9/28,2014,Q3,9,28,2014Q3,201409,7
2014/9/29,2014,Q3,9,29,2014Q3,201409,1
2014/9/30,2014,Q3,9,30,2014Q3,201409,2
2015/9/1,2015,Q3,9,1,2015Q3,201509,2
2015/9/2,2015,Q3,9,2,2015Q3,201509,3
2015/9/3,2015,Q3,9,3,2015Q3,201509,4
2015/9/4,2015,Q3,9,4,2015Q3,201509,5
2015/9/5,2015,Q3,9,5,2015Q3,201509,6
2015/9/6,2015,Q3,9,6,2015Q3,201509,7
2015/9/7,2015,Q3,9,7,2015Q3,201509,1
2015/9/8,2015,Q3,9,8,2015Q3,201509,2
2015/9/9,2015,Q3,9,9,2015Q3,201509,3
2015/9/10,2015,Q3,9,10,2015Q3,201509,4
2015/9/11,2015,Q3,9,11,2015Q3,201509,5
2015/9/12,2015,Q3,9,12,2015Q3,201509,6
2015/9/13,2015,Q3,9,13,2015Q3,201509,7
2015/9/14,2015,Q3,9,14,2015Q3,201509,1
2015/9/15,2015,Q3,9,15,2015Q3,201509,2
2015/9/16,2015,Q3,9,16,2015Q3,201509,3
2015/9/17,2015,Q3,9,17,2015Q3,201509,4
2015/9/18,2015,Q3,9,18,2015Q3,201509,5
2015/9/19,2015,Q3,9,19,2015Q3,201509,6
2015/9/20,2015,Q3,9,20,2015Q3,201509,7
2015/9/21,2015,Q3,9,21,2015Q3,201509,1
2015/9/22,2015,Q3,9,22,2015Q3,201509,2
2015/9/23,2015,Q3,9,23,2015Q3,201509,3
2015/9/24,2015,Q3,9,24,2015Q3,201509,4
2015/9/25,2015,Q3,9,25,2015Q3,201509,5
2015/9/26,2015,Q3,9,26,2015Q3,201509,6
2015/9/27,2015,Q3,9,27,2015Q3,201509,7
2015/9/28,2015,Q3,9,28,2015Q3,201509,1
2015/9/29,2015,Q3,9,29,2015Q3,201509,2
2015/9/30,2015,Q3,9,30,2015Q3,201509,3
2016/9/1,2016,Q3,9,1,2016Q3,201609,4
2016/9/2,2016,Q3,9,2,2016Q3,201609,5
2016/9/3,2016,Q3,9,3,2016Q3,201609,6
2016/9/4,2016,Q3,9,4,2016Q3,201609,7
2016/9/5,2016,Q3,9,5,2016Q3,201609,1
2016/9/6,2016,Q3,9,6,2016Q3,201609,2
2016/9/7,2016,Q3,9,7,2016Q3,201609,3
2016/9/8,2016,Q3,9,8,2016Q3,201609,4
2016/9/9,2016,Q3,9,9,2016Q3,201609,5
2016/9/10,2016,Q3,9,10,2016Q3,201609,6
2016/9/11,2016,Q3,9,11,2016Q3,201609,7
2016/9/12,2016,Q3,9,12,2016Q3,201609,1
2016/9/13,2016,Q3,9,13,2016Q3,201609,2
2016/9/14,2016,Q3,9,14,2016Q3,201609,3
2016/9/15,2016,Q3,9,15,2016Q3,201609,4
2016/9/16,2016,Q3,9,16,2016Q3,201609,5
2016/9/17,2016,Q3,9,17,2016Q3,201609,6
2016/9/18,2016,Q3,9,18,2016Q3,201609,7
2016/9/19,2016,Q3,9,19,2016Q3,201609,1
2016/9/20,2016,Q3,9,20,2016Q3,201609,2
2016/9/21,2016,Q3,9,21,2016Q3,201609,3
2016/9/22,2016,Q3,9,22,2016Q3,201609,4
2016/9/23,2016,Q3,9,23,2016Q3,201609,5
2016/9/24,2016,Q3,9,24,2016Q3,201609,6
2016/9/25,2016,Q3,9,25,2016Q3,201609,7
2016/9/26,2016,Q3,9,26,2016Q3,201609,1
2016/9/27,2016,Q3,9,27,2016Q3,201609,2
2016/9/28,2016,Q3,9,28,2016Q3,201609,3
2016/9/29,2016,Q3,9,29,2016Q3,201609,4
2016/9/30,2016,Q3,9,30,2016Q3,201609,5
2013/11/1,2013,Q4,11,1,2013Q4,201311,5
2013/11/2,2013,Q4,11,2,2013Q4,201311,6
2013/11/3,2013,Q4,11,3,2013Q4,201311,7
2013/11/4,2013,Q4,11,4,2013Q4,201311,1
2013/11/5,2013,Q4,11,5,2013Q4,201311,2
2013/11/6,2013,Q4,11,6,2013Q4,201311,3
2013/11/7,2013,Q4,11,7,2013Q4,201311,4
2013/11/8,2013,Q4,11,8,2013Q4,201311,5
2013/11/9,2013,Q4,11,9,2013Q4,201311,6
2013/11/10,2013,Q4,11,10,2013Q4,201311,7
2013/11/11,2013,Q4,11,11,2013Q4,201311,1
2013/11/12,2013,Q4,11,12,2013Q4,201311,2
2013/11/13,2013,Q4,11,13,2013Q4,201311,3
2013/11/14,2013,Q4,11,14,2013Q4,201311,4
2013/11/15,2013,Q4,11,15,2013Q4,201311,5
2013/11/16,2013,Q4,11,16,2013Q4,201311,6
2013/11/17,2013,Q4,11,17,2013Q4,201311,7
2013/11/18,2013,Q4,11,18,2013Q4,201311,1
2013/11/19,2013,Q4,11,19,2013Q4,201311,2
2013/11/20,2013,Q4,11,20,2013Q4,201311,3
2013/11/21,2013,Q4,11,21,2013Q4,201311,4
2013/11/22,2013,Q4,11,22,2013Q4,201311,5
2013/11/23,2013,Q4,11,23,2013Q4,201311,6
2013/11/24,2013,Q4,11,24,2013Q4,201311,7
2013/11/25,2013,Q4,11,25,2013Q4,201311,1
2013/11/26,2013,Q4,11,26,2013Q4,201311,2
2013/11/27,2013,Q4,11,27,2013Q4,201311,3
2013/11/28,2013,Q4,11,28,2013Q4,201311,4
2013/11/29,2013,Q4,11,29,2013Q4,201311,5
2013/11/30,2013,Q4,11,30,2013Q4,201311,6
2014/11/1,2014,Q4,11,1,2014Q4,201411,6
2014/11/2,2014,Q4,11,2,2014Q4,201411,7
2014/11/3,2014,Q4,11,3,2014Q4,201411,1
2014/11/4,2014,Q4,11,4,2014Q4,201411,2
2014/11/5,2014,Q4,11,5,2014Q4,201411,3
2014/11/6,2014,Q4,11,6,2014Q4,201411,4
2014/11/7,2014,Q4,11,7,2014Q4,201411,5
2014/11/8,2014,Q4,11,8,2014Q4,201411,6
2014/11/9,2014,Q4,11,9,2014Q4,201411,7
2014/11/10,2014,Q4,11,10,2014Q4,201411,1
2014/11/11,2014,Q4,11,11,2014Q4,201411,2
2014/11/12,2014,Q4,11,12,2014Q4,201411,3
2014/11/13,2014,Q4,11,13,2014Q4,201411,4
2014/11/14,2014,Q4,11,14,2014Q4,201411,5
2014/11/15,2014,Q4,11,15,2014Q4,201411,6
2014/11/16,2014,Q4,11,16,2014Q4,201411,7
2014/11/17,2014,Q4,11,17,2014Q4,201411,1
2014/11/18,2014,Q4,11,18,2014Q4,201411,2
2014/11/19,2014,Q4,11,19,2014Q4,201411,3
2014/11/20,2014,Q4,11,20,2014Q4,201411,4
2014/11/21,2014,Q4,11,21,2014Q4,201411,5
2014/11/22,2014,Q4,11,22,2014Q4,201411,6
2014/11/23,2014,Q4,11,23,2014Q4,201411,7
2014/11/24,2014,Q4,11,24,2014Q4,201411,1
2014/11/25,2014,Q4,11,25,2014Q4,201411,2
2014/11/26,2014,Q4,11,26,2014Q4,201411,3
2014/11/27,2014,Q4,11,27,2014Q4,201411,4
2014/11/28,2014,Q4,11,28,2014Q4,201411,5
2014/11/29,2014,Q4,11,29,2014Q4,201411,6
2014/11/30,2014,Q4,11,30,2014Q4,201411,7
2015/11/1,2015,Q4,11,1,2015Q4,201511,7
2015/11/2,2015,Q4,11,2,2015Q4,201511,1
2015/11/3,2015,Q4,11,3,2015Q4,201511,2
2015/11/4,2015,Q4,11,4,2015Q4,201511,3
2015/11/5,2015,Q4,11,5,2015Q4,201511,4
2015/11/6,2015,Q4,11,6,2015Q4,201511,5
2015/11/7,2015,Q4,11,7,2015Q4,201511,6
2015/11/8,2015,Q4,11,8,2015Q4,201511,7
2015/11/9,2015,Q4,11,9,2015Q4,201511,1
2015/11/10,2015,Q4,11,10,2015Q4,201511,2
2015/11/11,2015,Q4,11,11,2015Q4,201511,3
2015/11/12,2015,Q4,11,12,2015Q4,201511,4
2015/11/13,2015,Q4,11,13,2015Q4,201511,5
2015/11/14,2015,Q4,11,14,2015Q4,201511,6
2015/11/15,2015,Q4,11,15,2015Q4,201511,7
2015/11/16,2015,Q4,11,16,2015Q4,201511,1
2015/11/17,2015,Q4,11,17,2015Q4,201511,2
2015/11/18,2015,Q4,11,18,2015Q4,201511,3
2015/11/19,2015,Q4,11,19,2015Q4,201511,4
2015/11/20,2015,Q4,11,20,2015Q4,201511,5
2015/11/21,2015,Q4,11,21,2015Q4,201511,6
2015/11/22,2015,Q4,11,22,2015Q4,201511,7
2015/11/23,2015,Q4,11,23,2015Q4,201511,1
2015/11/24,2015,Q4,11,24,2015Q4,201511,2
2015/11/25,2015,Q4,11,25,2015Q4,201511,3
2015/11/26,2015,Q4,11,26,2015Q4,201511,4
2015/11/27,2015,Q4,11,27,2015Q4,201511,5
2015/11/28,2015,Q4,11,28,2015Q4,201511,6
2015/11/29,2015,Q4,11,29,2015Q4,201511,7
2015/11/30,2015,Q4,11,30,2015Q4,201511,1
2016/11/1,2016,Q4,11,1,2016Q4,201611,2
2016/11/2,2016,Q4,11,2,2016Q4,201611,3
2016/11/3,2016,Q4,11,3,2016Q4,201611,4
2016/11/4,2016,Q4,11,4,2016Q4,201611,5
2016/11/5,2016,Q4,11,5,2016Q4,201611,6
2016/11/6,2016,Q4,11,6,2016Q4,201611,7
2016/11/7,2016,Q4,11,7,2016Q4,201611,1
2016/11/8,2016,Q4,11,8,2016Q4,201611,2
2016/11/9,2016,Q4,11,9,2016Q4,201611,3
2016/11/10,2016,Q4,11,10,2016Q4,201611,4
2016/11/11,2016,Q4,11,11,2016Q4,201611,5
2016/11/12,2016,Q4,11,12,2016Q4,201611,6
2016/11/13,2016,Q4,11,13,2016Q4,201611,7
2016/11/14,2016,Q4,11,14,2016Q4,201611,1
2016/11/15,2016,Q4,11,15,2016Q4,201611,2
2016/11/16,2016,Q4,11,16,2016Q4,201611,3
2016/11/17,2016,Q4,11,17,2016Q4,201611,4
2016/11/18,2016,Q4,11,18,2016Q4,201611,5
2016/11/19,2016,Q4,11,19,2016Q4,201611,6
2016/11/20,2016,Q4,11,20,2016Q4,201611,7
2016/11/21,2016,Q4,11,21,2016Q4,201611,1
2016/11/22,2016,Q4,11,22,2016Q4,201611,2
