id,brand,car_model,type,desc,problem,datetime,status
481913,大众（进口）,甲壳虫,2018款 180TSI 乐动橙版,大众甲壳虫天窗遮阳板断裂4S店不保修,"H168,I295,I297,I282,L314,",2020-06-08,信息审核
481908,上汽斯柯达,柯迪亚克,2019款 TSI330 两驱 豪华优享版 5座 国VI,斯柯达柯迪亚克变速箱换挡异响顿挫,"B33,B19,B69,J298,",2020-06-08,信息审核
481907,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎开裂影响安全行驶,"F100,",2020-06-08,处理反馈
481903,吉利汽车,帝豪,2018款 1.5L CVT 向上互联版,吉利帝豪打方向盘时异响 中控台异响,"D59,H93,H209,",2020-06-08,处理反馈
481901,吉利汽车,远景X6,2018款 1.8L 手动 4G互联豪华型,吉利远景X6主副驾座椅下边生锈希望处理,"H79,",2020-06-08,处理反馈
481898,华晨宝马,宝马3系,2020款 325i M运动曜夜套装,华晨宝马3系刹车片过度磨损导致报警,"E62,E47,",2020-06-08,信息审核
481896,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国VI,三菱欧蓝德发动机抖动噪音大销售态度恶劣,"A24,A38,A35,B19,I295,I293,I282,J298,",2020-06-08,信息审核
481894,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天品位版,一汽马自达CX-4车身车门异响 中控屏死机,"H134,H72,H15,",2020-06-08,信息审核
481891,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408固特异轮胎开裂 轮毂严重氧化,"F100,H243,",2020-06-08,信息审核
481889,北京现代,途胜,2018款 1.6T 双离合 两驱 15周年特别版,北京现代途胜升级ECU后动力不足起步缓慢,"A163,O348,",2020-06-08,信息审核
481887,吉利新能源,星越新能源,2019款 400T 驭星者 纯电动续航80KM,吉利星越新能源车机卡顿 维修后中控异响,"H93,H155,J300,M279,",2020-06-08,处理反馈
481882,吉利新能源,帝豪新能源,2016款 EV 精英型 三厢,吉利帝豪新能源加热器损坏4S店拒绝索赔,"H49,I297,Q322,",2020-06-08,信息审核
481881,江铃福特,撼路者,2017款 2.0T 自动 四驱 豪华版 5座 汽油,江铃福特撼路者ABS以及防侧滑故障灯亮,"E74,H234,",2020-06-08,信息审核
481878,吉利汽车,帝豪GL,2017款 1.3T 自动 精英型,吉利帝豪GL发动机漏油存在质量问题,"A12,",2020-06-08,处理反馈
481874,领克汽车,领克01,2017款 2.0T 自动 两驱 型,领克01打方向卡顿多次更换转向机未解决,"D123,D265,",2020-06-08,处理反馈
481873,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL先锋版,一汽丰田卡罗拉车辆亏电4S店查不出原因,"H110,J301,",2020-06-08,信息审核
481872,观致汽车,观致5,2018款 1.6T 自动 旗舰型 改款,观致5中控屏黑屏4S店无法提供配件,"H134,N318,",2020-06-08,信息审核
481871,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁变速箱脱挡异响维修后故障依旧,"B33,B69,G52,H147,I295,",2020-06-08,信息审核
481870,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动马达故障导致无法使用,"A44,",2020-06-08,厂家受理
481867,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4行驶中AB柱异响严重,"H15,",2020-06-08,处理反馈
481864,吉利汽车,星越,2019款 改款 300T 耀星者,吉利星越车机卡顿死机厂家未回复处理,"H134,I294,L314,",2020-06-08,处理反馈
481863,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹ABC柱和后备箱有异响,"H15,H68,",2020-06-08,信息审核
481862,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机卡顿 版本与宣传不符,"H134,M279,",2020-06-08,处理反馈
481860,一汽-大众奥迪,奥迪A4L,2015款 2.0T CVT 标准型,一汽大众奥迪A4L节温器漏防冻液倒车异响,"A37,B33,",2020-06-08,信息审核
481859,奇瑞汽车,捷途X90,2019款 1.5T 自动 智享型 6座 国V,捷途X90发动机水温报警4S店距离远,"A191,O326,",2020-06-08,用户评分
481858,长城汽车,哈弗H5,2018款 2.0T 手动 四驱 尊贵型 经典版 柴油,哈弗H5自洁功能频繁售后未解决问题,"A114,",2020-06-08,处理反馈
481857,上汽大众,凌渡,2019款 230TSI DSG 风尚版 国V,上汽大众凌渡4S店内上保险多收费承诺不兑现,"K307,K325,L313,",2020-06-08,信息审核
481853,一汽-大众,迈腾,2015款 1.8TSI 豪华型,一汽大众迈腾起步时变速箱顿挫加速无力,"B19,B95,B334,",2020-06-08,信息审核
481852,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天探索版,一汽马自达CX-4车身ABC柱天窗多处异响,"H164,H15,H89,",2020-06-08,信息审核
481851,众泰汽车,众泰E200,2018款 飞鱼座,众泰E200充电机故障导致无法充电影响使用,"H340,",2020-06-08,信息审核
481850,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客邓禄普轮胎有裂纹影响安全,"F100,I295,",2020-06-08,信息审核
481849,东风裕隆,U5 SUV,2017款 1.6L CVT 名士版,纳智捷U5 SUV中控花屏 厂家客服不解决问题,"H134,I295,",2020-06-08,信息审核
481848,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹B柱和后备箱异响,"H164,I295,",2020-06-08,处理反馈
481846,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动发动机抖动4S店收检测费,"A24,J299,K307,",2020-06-08,信息审核
481837,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹方向机车身异响希望处理,"D59,H164,H15,H89,",2020-06-08,信息审核
481836,一汽马自达,阿特兹,2020款 2.0L 蓝天时尚版,一汽马自达阿特兹车身异响 天窗及中控异响,"H93,H15,H89,",2020-06-08,信息审核
481833,江铃汽车,特顺新能源,2019款 L500 EV 商运型 短轴中顶,江铃特顺新能源动力电池故障希望厂家处理,"H343,",2020-06-08,处理反馈
481831,一汽-大众奥迪,奥迪A3,2020款 Limousine 35 TFSI 时尚型 国VI,一汽大众奥迪A3官方二手车登不了奥迪系统,"M284,",2020-06-08,信息审核
481830,吉利汽车,缤越,2019款 运动款 260T DCT Battle 国VI 运动款,吉利缤越轻踩刹车时异响希望厂家处理问题,"E43,",2020-06-08,处理反馈
481829,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹行驶中B柱异响 天窗异响,"H15,H89,",2020-06-08,处理反馈
481828,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹B柱异响 天窗异响,"H164,H89,",2020-06-08,处理反馈
481825,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天探索版,一汽马自达CX-4过颠簸路面车身异响,"H164,H15,",2020-06-08,信息审核
481823,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹行驶中AB柱存在异响,"H164,H93,",2020-06-08,处理反馈
481819,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹B柱异响 天窗异响,"D59,H93,H15,H89,",2020-06-08,处理反馈
481818,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾爬坡辅助系统功能缺陷,"H170,",2020-06-08,处理反馈
481816,一汽-大众,T-ROC探歌,2019款 280TSI DSG 两驱 舒适型 国VI,一汽大众探歌韩泰轮胎有裂纹希望厂家处理,"F100,",2020-06-08,处理反馈
481814,上汽通用五菱,新宝骏RM-5,2019款 1.5T CVT 24小时在线 尊贵型 7座,新宝骏RM-5天窗帘损坏车内抖动严重,"H268,H168,N318,",2020-06-08,信息审核
481811,北京现代,途胜,2015款 1.6T   双离合 两驱 领先型,北京现代途胜高速行驶中方向助力故障,"D265,",2020-06-08,信息审核
481809,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L发动机水泵处漏防冻液,"A37,",2020-06-08,处理反馈
481807,一汽-大众奥迪,奥迪A6L,2017款 TFSI 双离合 技术型,一汽大众奥迪A6L经销商承诺不兑现,"J299,K325,L313,",2020-06-08,信息审核
481805,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹车身多处异响 转向机异响,"D59,H15,",2020-06-08,信息审核
481803,一汽-大众奥迪,奥迪Q3,2020款 35 TFSI 时尚致雅型,一汽大众奥迪Q3车顶和副驾驶侧车窗漏水,"H109,",2020-06-08,信息审核
481802,东风本田,本田CR-V,2019款 锐·混动 2.0L 两驱 净驰版 国VI,东风本田CR-V车身漏风希望尽快处理,"H144,",2020-06-08,处理反馈
481800,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机系统卡顿 与宣传不符,"H155,M279,",2020-06-08,用户评分
481799,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹车身和中控台异响,"H93,H15,",2020-06-08,信息审核
481796,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天品位版,一汽马自达CX-4车门玻璃和中控台有异响,"H72,H93,",2020-06-08,信息审核
481793,上汽集团,荣威RX5 MAX,2019款 300TGI 自动 4G互联豪华版,上汽荣威RX5MAX售车置换补贴不兑现,"I295,I293,I281,L313,M279,",2020-06-08,信息审核
481792,一汽马自达,阿特兹,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹车身多处异响存在安全隐患,"H164,I295,I294,I281,",2020-06-08,信息审核
481791,吉利汽车,星越,2019款 350T 耀星者,吉利星越减震器异响 车机卡顿与宣传不符,"G52,H155,M279,",2020-06-08,处理反馈
481785,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹AB柱顶棚和中控异响,"H164,H93,",2020-06-08,处理反馈
481784,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天品位版,一汽马自达CX-4车身异响 后备箱异响	,"H164,H68,",2020-06-08,信息审核
481783,江铃福特,领界,2019款 EcoBoost 145 CVT 尊领型 国VI,江铃福特领界发动机异响要求尽快处理,"A9,",2020-06-08,处理反馈
481780,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹车身有异响厂家未回复,"H164,H15,I294,",2020-06-08,信息审核
481779,上汽大众,途昂,2017款 380TSI 四驱 豪华版,上汽大众途昂启动后转向系统失灵,"D57,",2020-06-08,信息审核
481778,上汽大众,帕萨特新能源,2019款 430PHEV 混动 豪华版,上汽大众帕萨特新能源空调不制冷无配件,"H101,N318,",2020-06-08,信息审核
481776,奇瑞汽车,艾瑞泽GX,2019款 Pro 1.5T CVT 型色版 国VI,奇瑞艾瑞泽GX开空调怠速不稳车机卡顿,"A35,H155,I295,O348,",2020-06-08,信息审核
481775,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机硬件和版本与宣传版本不一样,"H155,M279,",2020-06-08,处理反馈
481774,吉利汽车,缤越,2019款 260T DCT Battle 运动款 国V,吉利缤越后视镜风噪大漏风希望处理,"H211,H144,L314,",2020-06-08,处理反馈
481771,众泰汽车,众泰T500,2018款 1.5T 手动 尊享型 5座,众泰T500发动机敲缸异响刹车时抖动,"A9,E111,H134,",2020-06-08,处理反馈
481770,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机版本与官方宣传不符,"M279,",2020-06-08,处理反馈
481769,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越车机死机卡顿 系统无法升级,"H155,M279,",2020-06-08,处理反馈
481768,上汽集团,荣威RX5 MAX,2019款 300TGI 自动 4G互联豪华版,上汽荣威RX5 MAX系统信息与实际不符,"M284,M279,",2020-06-08,处理反馈
481760,吉利汽车,星越,2019款 改款 350T 驭星者,吉利星越车机虚假宣传 方向盘异响,"D59,M279,",2020-06-08,厂家受理
481759,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹车身中控 B柱 后备箱异响,"H93,H15,H68,",2020-06-08,处理反馈
481756,吉利汽车,博越,2016款 1.8TD 自动 两驱 智尊型,吉利博越排气管锈蚀希望尽快更换解决,"H30,",2020-06-08,处理反馈
481754,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机无法升级与宣传不符,"H155,M279,",2020-06-08,处理反馈
481750,众泰汽车,众泰T600,2015款 1.5T 手动 尊贵型,众泰T600方向机异响 后轮吃胎偏磨,"D265,G245,",2020-06-08,处理反馈
481749,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天品位版,一汽马自达CX-4中控屏死机无法正常使用,"H134,H93,H15,H89,",2020-06-08,信息审核
481748,福田汽车,欧马可,2007款 欧马可N BJ1049V8AD6-3,福田欧马可配件质量差希望厂家尽快处理,"N317,",2020-06-08,厂家受理
481747,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机卡顿延迟与宣传不符,"H155,M279,",2020-06-08,处理反馈
481746,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹全车多处异响无法解决,"H15,H89,",2020-06-08,信息审核
481742,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408空调不制冷影响正常使用,"H101,",2020-06-08,信息审核
481739,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国VI,一汽大众迈腾变速箱升降挡过程中异响顿挫,"B33,B19,",2020-06-08,处理反馈
481737,一汽奔腾,奔腾X40,2017款 1.6L 自动 尊享型,一汽奔腾X40发动机一缸缺火缸压偏低,"A24,",2020-06-08,信息审核
481736,一汽大众,捷达VS5,2019款 280TSI 自动 进取型,捷达VS5机盖雨水槽漏水导致涡轮增压器生锈,"H79,H109,",2020-06-08,信息审核
481735,长城汽车,哈弗H6 Coupe,2016款 1.5T 自动 两驱精英型,哈弗H6Coupe涡轮增压器损坏不解决问题,"A189,I295,",2020-06-08,处理反馈
481731,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度发动机故障灯亮P0341,"A34,",2020-06-08,处理反馈
481728,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越车机系统及功能与宣传时不符,"M279,",2020-06-08,处理反馈
481721,上汽斯柯达,柯珞克,2019款 TSI280 智行豪华版 国Ⅵ,斯柯达柯珞克电瓶故障4S店否认质量问题,"H146,I292,",2020-06-08,信息审核
481720,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹车身异响严重影响驾驶,"H15,",2020-06-08,信息审核
481714,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4车身ABC柱异响不解决,"H164,H15,I295,",2020-06-08,信息审核
481712,上汽斯柯达,速派,2016款 TSI280  DSG 前行版,上汽斯柯达速派车身漆面起泡开裂掉漆,"H81,",2020-06-08,信息审核
481711,众泰汽车,众泰T700,2017款 1.8T 双离合 尊享型,众泰T700副驾驶漏水厂家无法提供配件,"H109,I295,I282,N318,",2020-06-08,信息审核
481710,东风标致,标致408,2014款 1.6T 自动 尊贵版,东风标致408四只轮毂氧化4S店不保修,"H243,I297,",2020-06-08,信息审核
481706,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际4S店收取金融服务费不合理,"K307,",2020-06-08,信息审核
481705,吉利汽车,缤越,2019款 260T DCT 游侠 运动款 国V,吉利缤越车机卡顿长时间导航死机,"H21,H155,",2020-06-08,用户评分
481703,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹车身异响厂家承诺不兑现,"H164,I293,I294,L314,",2020-06-08,信息审核
481702,沃尔沃（进口）,沃尔沃S60,2013款 2.0T T5 舒适版,进口沃尔沃S60空调使用异响要求解决,"H101,",2020-06-08,信息审核
481700,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越变速箱顿挫 转向异响 车内共振,"B19,D59,H268,H209,",2020-06-08,处理反馈
481698,绵阳金杯,智尚S30,2015款 1.5L AMT 豪华型,绵阳金杯智尚S30变速箱无法加速要求解决,"B334,",2020-06-08,信息审核
481697,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L方向盘上下晃动存在质量问题,"D80,D337,",2020-06-08,处理反馈
481695,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹车身多处异响希望解决,"H15,",2020-06-08,信息审核
481692,江淮汽车,瑞风A60,2017款 1.5T GDI 自动 豪华商务型,江淮瑞风A60变速箱不升挡 电子手刹故障,"B20,E159,",2020-06-08,处理反馈
481689,广汽本田,飞度,2014款 1.5 CVT EXLI领先型,广汽本田飞度发动机冷启动异响频繁,"A9,",2020-06-07,处理反馈
481688,北京奔驰,奔驰GLC,2020款 GLC 300 L 4MATIC 动感型,北京奔驰GLC空调及刹车问题厂家不回复,"E29,H101,I294,",2020-06-07,信息审核
481687,华晨中华,中华V7,2019款 运动款 280T 自动 豪华型,中华V7变速箱严重顿挫影响正常驾驶,"B19,I281,J298,",2020-06-07,信息审核
481685,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹中控异响希望厂家解决,"H93,",2020-06-07,信息审核
481683,一汽丰田,卡罗拉,2019款 双擎 1.8L E-CVT GL-i精英版,一汽丰田卡罗拉新车轮胎装配存在问题,"M284,",2020-06-07,信息审核
481682,福田汽车,时代金刚,2013款 3P69P485(A1),福田时代金刚方向盘焊接处行驶途中脱落,"D57,",2020-06-07,厂家受理
481681,北京汽车,绅宝X35,2016款 1.5L 手动 精英版,北汽绅宝X35转向卡顿喇叭失灵气囊故障灯亮,"A37,D123,H82,H103,H151,",2020-06-07,处理反馈
481680,一汽-大众,高尔夫,2019款 280TSI DSG 舒适型 国VI,一汽大众高尔夫左侧化妆镜无故破碎,"H113,",2020-06-07,处理反馈
481678,一汽-大众,速腾,2012款 1.6 自动 舒适型,一汽大众速腾定速巡航失灵无法正常使用,"H253,",2020-06-07,处理反馈
481676,华晨宝马,宝马5系,2019款 530Li 尊享型 M运动套装 改款,华晨宝马5系在4S店内维修时后备箱内进老鼠,"J300,",2020-06-07,信息审核
481675,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统卡顿与厂家宣传不符,"H134,M279,",2020-06-07,信息审核
481673,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾车窗有异响维修未解决,"H72,",2020-06-07,处理反馈
481672,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹AB柱和天窗有异响,"H15,H89,",2020-06-07,处理反馈
481671,一汽-大众,T-ROC探歌,2019款 280TSI DSG 两驱 舒适型 国VI,一汽大众探歌韩泰轮胎出现严重裂痕,"F100,",2020-06-07,处理反馈
481670,一汽-大众,高尔夫,2016款 1.4TSI 自动 R-Line,一汽大众高尔夫变速箱故障灯亮要求处理,"B96,",2020-06-07,处理反馈
481666,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹行驶过程中B柱出现异响,"H15,",2020-06-07,处理反馈
481665,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹行驶过程中B柱有异响,"H15,",2020-06-07,信息审核
481663,上汽集团,名爵3,2011款 1.3 手动 舒适版,上汽名爵3正时链条跳齿发动机无法启动,"A45,",2020-06-07,用户评分
481657,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹行驶时车身多处有异响,"H15,",2020-06-07,信息审核
481656,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天品位版,一汽马自达CX-4车身异响颠簸路中控台异响,"H93,H15,",2020-06-07,信息审核
481649,吉利汽车,帝豪,2016款 1.5L CVT 向上版 三厢,吉利帝豪起步时变速箱顿挫油耗高,"B19,",2020-06-07,用户评分
481642,吉利汽车,博瑞,2015款 2.4L 舒适型,吉利博瑞行驶中变速箱顿挫故障灯亮,"B19,B96,",2020-06-07,处理反馈
