id,brand,car_model,desc,problem,datetime,status,type_year,type_engine,type_transmission,type_other
484395,东风日产,天籁,东风日产天籁低频共振噪音大影响使用,"H268,",2020-06-15,信息审核,2019,2.0L,, XL 舒适版
484392,一汽马自达,马自达CX-4,一汽马自达CX-4车身后备箱异响 天窗异响,"H15,H89,",2020-06-15,信息审核,2020,2.0L,自动, 两驱 蓝天活力版
484389,东风标致,标致4008,东风标致4008发动机抖动 噪音大,"A24,A38,",2020-06-15,信息审核,2019,,, 改款 360THP 尝先版
484388,一汽大众,捷达VS5,捷达VS5发动机漏水排气管生锈4S店不处理,"A37,H79,H48,I295,",2020-06-15,信息审核,2019,280TSI,自动, 悦享型
484385,吉利汽车,星越,吉利星越配置减配和车机系统虚假宣传,"M279,Q350,",2020-06-15,处理反馈,2020,350T,, 驭星者AWD
484384,华晨鑫源,海狮X30L,金杯海狮X30L后桥整体断裂4S店不予保修,"G230,I297,",2020-06-15,信息审核,2019,1.5L,, 财富版 国VI SWC15M
484383,上汽集团,名爵6,上汽名爵6挂挡起步顿挫颤抖升级ECM未解决,"B19,B95,",2020-06-15,厂家受理,2017,20T,手动, 豪华智联版 国V
484381,几何汽车,几何A,几何A车机卡顿 GPS信号差导致定位慢,"H134,H21,H155,L313,",2020-06-15,信息审核,2019,,, 高维标准续航幂方版
484380,几何汽车,几何A,几何A车机系统卡顿中控台异响 车内异响,"H164,H93,H155,L313,",2020-06-15,信息审核,2019,,, 高维标准续航幂方版
484378,几何汽车,几何A,几何A车机OTA虚假宣传 导航定位慢,"H164,H21,H155,M279,",2020-06-15,信息审核,2019,,, 高维标准续航幂方版
484375,吉利汽车,缤瑞,吉利宾瑞雨刮器异响4S店拒绝索赔,"H60,",2020-06-15,处理反馈,2018,14T,, CVT 缤致版
484374,一汽-大众,高尔夫·嘉旅,一汽大众高尔夫嘉旅下雨时车内漏水,"H109,",2020-06-15,厂家受理,2016,280TSI,自动, 豪华型
484371,吉利汽车,星越,吉利星越四条韩泰轮胎开裂现象越来越严重,"F100,",2020-06-15,处理反馈,2019,300T,, 耀星者
484370,知豆电动车,知豆D2,知豆D2无法行驶动力电池故障厂家一直没货,"H343,I295,N318,",2020-06-15,信息审核,2016,,, D2
484369,一汽马自达,阿特兹,一汽马自达阿特兹行驶时天窗B柱有异响,"H15,H89,",2020-06-15,信息审核,2020,2.5L,, 蓝天运动版
484368,一汽马自达,马自达CX-4,一汽马自达CX-4后备箱异响 中控台异响	,"H93,H15,",2020-06-15,信息审核,2020,2.0L,自动, 两驱 蓝天活力版
484363,广汽本田,雅阁,广汽本田雅阁日间行车灯不亮希望厂家处理,"H82,",2020-06-15,处理反馈,2016,2.0L,, CVT  舒适版
484362,一汽马自达,马自达CX-4,一汽马自达CX-4打开车门时有金属异响,"H72,H15,",2020-06-15,信息审核,2020,2.0L,自动, 两驱 蓝天品位版
484360,吉利汽车,博越,吉利博越换错变速箱油厂家未回复处理,"I294,J300,J299,",2020-06-15,处理反馈,2016,1.8TD,自动, 两驱 智尊型
484358,众泰汽车,众泰E200,众泰E200制动总泵损坏充电机损坏厂家无货,"E29,E196,H340,N318,",2020-06-15,信息审核,2018,,, 飞鱼座
484357,宝马（进口）,宝马5系GT,进口宝马5系GT空气悬挂漏气导致塌陷,"G204,",2020-06-15,信息审核,2015,,, 528i 豪华型
484356,北京现代,现代ix35,北京现代ix35两前刹车盘异常磨损刹车异响,"E43,E47,E239,I295,I297,",2020-06-15,信息审核,2018,2.0L,自动, 两驱 智勇·畅享版
484354,东风标致,标致508,东风标致508冷车启动发动机有异响声	,"A9,",2020-06-15,信息审核,2015,1.6THP,自动, 致臻版
484353,东风本田,本田XR-V,东风本田XR-V启动时VTC作动器有异响,"A9,",2020-06-15,信息审核,2015,1.5L,, LXi CVT经典版
484352,一汽-大众,探岳,一汽大众探岳变速箱异响希望厂家处理,"B33,",2020-06-15,厂家受理,2019,330TSI,, 两驱 豪华型 国Ⅵ
484350,吉利汽车,博越,吉利博越变速箱挡位指示灯宣传与实际不符,"M279,",2020-06-15,处理反馈,2020,1.8TD,, DCT 智领PRO
484346,东风标致,标致408,东风标致408节温器故障导致故障灯亮	,"A34,A191,",2020-06-15,信息审核,2014,1.6T,自动, 至尊版
484345,吉利汽车,嘉际,吉利嘉际4S店出售问题车辆 变相收费,"H157,I295,I294,K307,M284,",2020-06-15,信息审核,2019,1.5TD,, MHEV DCT 尊享型
484343,江铃汽车,驭胜S350,江铃驭胜S350车身生锈 门锁失灵 胶条脱落,"H79,H48,H197,",2020-06-15,信息审核,2016,2.0T,自动,  两驱 汽油 豪华版 5座
484342,吉利汽车,博越,吉利博越挡位灯不亮与厂家宣传不符,"M279,",2020-06-15,处理反馈,2020,1.8TD,, DCT 智慧PRO
484340,奇瑞汽车,捷途X90,奇瑞捷途X90销售承诺终身免费保养不兑现,"L313,",2020-06-15,信息审核,2019,1.6T,, DCT 耀旅版 5座 国VI
484335,东风雪铁龙,雪铁龙C4L,东风雪铁龙C4L转向柱松动影响安全,"D337,",2020-06-15,信息审核,2013,1.6THP,自动, 劲享版
484330,吉利新能源,嘉际新能源,吉利嘉际新能源备胎槽支架磨损备胎,"H68,",2020-06-15,处理反馈,2021,1.5TD,, ePro PHEV 尊享型
484329,猎豹汽车,猎豹CS10,猎豹CS10传感器损坏导致变速箱无法挂挡,"B20,B334,",2020-06-15,信息审核,2017,2.0T,自动, 豪华型
484322,一汽马自达,阿特兹,一汽马自达阿特兹B柱天窗异响维修未解决,"H15,J298,J301,",2020-06-15,信息审核,2020,2.5L,, 蓝天运动版
484320,吉利汽车,缤越,吉利缤越车机卡顿无法升级系统 车窗漏风,"H155,",2020-06-15,处理反馈,2019,260T,, DCT Battle 运动款 国V
484317,猎豹汽车,猎豹CS10,猎豹CS10仪表提示发动机和ABS故障灯亮,"A34,A255,B33,E74,G125,H168,H170,",2020-06-15,信息审核,2017,2.0T,自动, 都市型
484316,一汽马自达,阿特兹,一汽马自达阿特兹行驶过程中B柱有异响,"H15,",2020-06-15,信息审核,2020,2.5L,, 蓝天尊崇版
484315,广汽丰田,汉兰达,广汽丰田汉兰达刹车片异常磨损厂家不予质保,"E47,I297,",2020-06-15,信息审核,2018,2.0T,, 四驱 豪华版 7座 国V
484313,宝沃汽车,宝沃BX7,宝沃BX7售后人员隐瞒保险理赔金额,"L314,",2020-06-15,处理反馈,2016,,, 28T 四驱 旗舰版 5座
484312,东风标致,标致408,东风标致408制动距离长车门无法上锁油耗高,"A85,E269,H168,H197,",2020-06-15,信息审核,2011,,自动, 2.0 豪华版
484310,上汽集团,锐腾,上汽名爵锐腾打方向异响行驶中方向跑偏,"D59,D154,G117,",2020-06-15,处理反馈,2015,,, 1.5TGI TST 精英版
484308,上汽集团,荣威RX3,上汽荣威RX3发动机漏油行驶中天窗异响,"A12,C267,H101,H89,",2020-06-15,处理反馈,2018,1.6L,手动, 进取版
484307,上汽斯柯达,昊锐,斯柯达昊锐车内异味严重希望厂家处理,"H185,",2020-06-15,信息审核,2009,1.8TSI,自动, 智雅版
484305,比亚迪,比亚迪S7,比亚迪S7变速箱顿挫严重希望尽快处理,"B19,",2020-06-15,信息审核,2016,2.0T,自动, 旗舰型Plus
484304,比亚迪,比亚迪S7,比亚迪S7变速箱换挡顿挫空挡时抖动,"B19,B95,",2020-06-15,处理反馈,2016,2.0T,自动, 尊贵型Plus
484303,上汽大众,途观,上汽大众途观驾驶室前后脚垫位置积水,"H109,",2020-06-15,信息审核,2013,1.8TSI,自动, 两驱 豪华型
484302,北汽银翔,幻速S7,北汽幻速S7行驶中变速箱只有一挡无法升挡,"B20,",2020-06-15,信息审核,2018,1.5T,自动, 尊享型
484301,吉利汽车,星越,吉利星越车机卡顿 系统与宣传不符,"H134,M279,",2020-06-15,处理反馈,2019,300T,, 耀星者
484298,上汽斯柯达,柯珞克,斯柯达柯珞克电瓶故障导致无法启动,"H146,",2020-06-15,信息审核,2019,TSI280,, 智行豪华版 国Ⅵ
484297,一汽马自达,阿特兹,一汽马自达阿特兹车内异响4S店无法解决,"H164,H93,H89,I295,J298,M284,",2020-06-15,信息审核,2020,2.5L,, 蓝天尊崇版
484296,吉利汽车,缤瑞,吉利缤瑞转动方向盘时存在明显异响,"D59,",2020-06-15,处理反馈,2019,,, 200T DCT 亚运版
484294,上汽集团,荣威RX5 MAX,上汽荣威RX5 MAX系统信息与实际不符,"I295,M284,",2020-06-15,厂家受理,2019,300TGI,自动, 4G互联豪华版
484293,比亚迪,比亚迪S7,比亚迪S7变速箱加速无力 挂挡困难,"B20,B334,B27,",2020-06-15,处理反馈,2015,2.0T,自动, 旗舰型
484292,上汽大众,凌渡,上汽大众凌渡疑似刹车盘生锈存在质量问题,"E239,E42,",2020-06-15,信息审核,2019,280TSI,, DSG 舒适版 国V
484291,吉利汽车,博越,吉利博越变速箱挡位灯宣传与实际不符,"M279,",2020-06-15,处理反馈,2020,1.8TD,, DCT 智领PRO
484289,一汽马自达,阿特兹,一汽马自达阿特兹新车B柱和天窗异响严重,"H164,H89,",2020-06-15,信息审核,2020,2.5L,, 蓝天尊崇版
484287,上汽大众,朗逸,上汽大众朗逸低速时变速箱异响存在质量问题,"B33,H164,",2020-06-15,信息审核,2018,280TSI,, DSG 舒适版 国V
484284,一汽马自达,马自达CX-4,一汽马自达CX-4 A柱及B柱位置异响,"H15,",2020-06-15,信息审核,2020,2.0L,自动, 两驱 蓝天品位版
484283,吉利汽车,远景,吉利远景变速箱升挡时顿挫 油耗增加,"B19,",2020-06-15,处理反馈,2016,1.5L,自动, 幸福版
484282,吉利汽车,帝豪,吉利帝豪刹车疲软 存在安全隐患,"E269,",2020-06-15,处理反馈,2017,1.5L,, CVT 向上版 三厢 百万款
484281,吉利汽车,远景,吉利远景车门及车身螺栓生锈厂家不解决问题,"H79,I295,",2020-06-15,厂家受理,2018,1.5L,手动, 幸福版
484280,一汽马自达,阿特兹,一汽马自达阿特兹中控B柱及后备箱异响,"H93,H15,H68,",2020-06-15,信息审核,2020,2.5L,, 蓝天运动版
484273,一汽-大众,CC,一汽大众CC中控隔音棉质量差导致车内异味,"H185,",2020-06-15,厂家受理,2013,1.8TSI,, 豪华型
484272,东风悦达起亚,智跑,东风悦达起亚智跑内饰破损4S店拒绝质保,"H168,",2020-06-15,信息审核,2018,2.0L,自动, 智享豪华版
484271,广汽丰田,凯美瑞,广汽丰田凯美瑞两前半轴漏油要求免费更换,"G51,",2020-06-15,信息审核,2016,,自动, 2.0G 十周年纪念豪华版
484269,上汽集团,荣威RX3,上汽荣威RX3漆面厚度与标准差异大,"M284,",2020-06-15,处理反馈,2020,1.6L,手动, 超爽进取版
484266,上汽大众,凌渡,上汽大众凌渡变速箱漏油4S店拒绝质保,"B22,",2020-06-15,信息审核,2017,230TSI,, DSG 风尚版
484265,比亚迪,比亚迪S7,比亚迪S7变速箱顿挫异响抖动并且加速无力,"B33,B19,B95,B334,",2020-06-15,信息审核,2017,2.0T,自动, 尊贵型
484263,上汽大众,途安,上汽大众途安天窗漏水希望尽快解决,"H90,",2020-06-15,信息审核,2016,330TSI,自动, 途安L 豪华版
484262,东风日产,天籁,东风日产天籁方向盘异响厂家未解决问题,"D59,I295,",2020-06-15,处理反馈,2019,2.0L,, XL 舒适版
484260,众泰汽车,众泰T300,众泰T300天窗震动 左侧后视镜转向灯不亮,"H89,H82,",2020-06-15,处理反馈,2017,1.5L,手动, 尊享型
484258,广汽本田,锋范,广汽本田锋范冷车启动发动机有异响,"A9,",2020-06-15,处理反馈,2015,1.5L,, CVT 舒适版
484257,吉利汽车,星越,吉利星越车机系统卡顿系统版本无法升级,"H134,M279,",2020-06-15,处理反馈,2019,350T,, 耀星者
484256,广汽丰田,凯美瑞,广汽丰田凯美瑞车内异味怠速时发动机抖动,"A24,H185,",2020-06-15,信息审核,2018,,自动, 2.5G 豪华版
484255,一汽-大众奥迪,奥迪A4L,一汽大众奥迪A4L天窗漏水存在质量问题,"H90,",2020-06-15,信息审核,2017,2.0T,, 双离合 时尚型
484254,一汽-大众奥迪,奥迪Q5,一汽大众奥迪Q5节温器和水泵漏防冻液,"A37,A221,",2020-06-15,信息审核,2017,2.0T,, 40 TFSI 舒适型
484253,上汽大众,途观L,上汽大众途观L发动机异响厂家未回复处理,"A9,I295,I294,",2020-06-15,信息审核,2018,330TSI,自动, 两驱 舒适版
484249,长安汽车,长安欧尚科赛,长安欧尚科赛新车电瓶无法充满刹车灯减配,"H340,I295,Q350,",2020-06-15,厂家受理,2018,1.5T,手动, 型 7座
484247,上汽大众,朗逸,上汽大众朗逸轮胎龟裂严重排气管生锈,"F100,H30,I295,",2020-06-15,信息审核,2017,1.6L,手动, 风尚版
484244,吉利汽车,博越,吉利博越轮胎生产日期与车辆生产日期不符,"I295,I281,M284,",2020-06-15,信息审核,2020,1.8TD,, DCT 智领PRO
484243,一汽马自达,马自达CX-4,一汽马自达CX-4车内A柱和B柱异响严重,"H164,",2020-06-15,信息审核,2020,2.0L,自动, 两驱 蓝天探索版
484241,吉利汽车,博越,吉利博越行车中导航不准确4S店不解决问题,"H21,I295,",2020-06-15,厂家受理,2018,1.8TD,自动, 两驱 智慧型 4G互联版
484238,北京现代,途胜,北京现代途胜发动机起步抖动油耗高动力差,"A24,A163,A85,",2020-06-15,信息审核,2015,1.6T,,   双离合 两驱 智能型
484233,吉利汽车,博越,吉利博越车机系统及功能与宣传时不符,"M279,",2020-06-15,处理反馈,2020,1.8TD,, DCT 智领PRO
484232,东风雪铁龙,凯旋,东风雪铁龙凯旋高速行驶中变速箱3挡锁死,"B20,",2020-06-15,处理反馈,2006,2.0L,自动, 旗舰型
484230,吉利汽车,博越,吉利博越实车配置与宣传不符要求解决,"M279,",2020-06-15,处理反馈,2020,1.8TD,, DCT 智领PRO
484228,一汽马自达,马自达CX-4,一汽马自达CX-4转向异响 4S店态度恶劣,"D59,H168,H155,I293,I294,",2020-06-15,信息审核,2020,2.5L,自动, 两驱 蓝天驾趣版
484227,众泰汽车,众泰T700,众泰T700车身AB柱外观装饰板出现断裂,"H168,N318,",2020-06-15,处理反馈,2017,1.8T,, 双离合 尊贵型
484225,东风英菲尼迪,英菲尼迪Q50L,东风英菲尼迪Q50L后差速器漏油严重,"G124,",2020-06-15,信息审核,2015,2.0T,自动, 悦享版
484224,一汽-大众,探岳,一汽大众探岳变速箱异响 车灯光线暗,"B33,H88,",2020-06-15,厂家受理,2019,330TSI,, 两驱 豪华型 国Ⅵ
484223,一汽解放,解放J6P,一汽解放J6P驾驶室玻璃漏水制造工艺差,"H109,",2020-06-15,信息审核,2011,,, 解放J6P 9.0 集装箱 半挂 牵引汽车 CA4250P66K24T1A1 EX型
484221,吉利汽车,远景X6,吉利远景X6起步转向异响存在质量问题,"D59,",2020-06-14,处理反馈,2018,1.4T,, CVT 4G互联旗舰型
484220,北京现代,名图,北京现代名图大灯灯眉发黄断裂要求解决,"H220,I297,",2020-06-14,信息审核,2014,1.8L,自动, 尊贵型
484219,上汽集团,荣威RX5 MAX,上汽荣威RX5 MAX经销商出售库存车,"L313,M284,",2020-06-14,处理反馈,2019,400TGI,自动, 智能座舱豪华版
484218,东风标致,标致4008,东风标致4008加速无力发动机故障灯亮,"A34,A160,",2020-06-14,处理反馈,2018,350THP,, 精英版
484216,上汽通用五菱,宝骏610,宝骏610中控锁损坏 遥控器失灵无法使用,"H119,H197,",2020-06-14,信息审核,2014,1.5L,手动, 舒适型
484215,猎豹汽车,猎豹CS10,猎豹CS10变速箱传感器损坏导致无法行驶,"B334,",2020-06-14,信息审核,2017,2.0T,自动, 豪华型
484214,吉利汽车,博越,吉利博越车机功能与官方宣传不符		,"M279,",2020-06-14,厂家受理,2020,1.8TD,, DCT 智领PRO
484213,一汽马自达,马自达CX-4,一汽马自达CX-4中控屏显示内容不断跳动,"H134,",2020-06-14,信息审核,2016,2.0L,自动, 两驱蓝天品位版
484211,吉利汽车,博越,吉利博越没有挡位灯 播放音乐有杂音,"H134,Q322,",2020-06-14,处理反馈,2020,1.8TD,, DCT 智领PRO
484209,长安马自达,马自达CX-5,长安马自达CX-5车机死机无法正常使用,"H134,",2020-06-14,信息审核,2020,2.0L,自动, 两驱 智尊型
484206,一汽马自达,马自达CX-4,一汽马自达CX-4中控台后座和车门有异响,"H72,H93,H169,",2020-06-14,信息审核,2020,2.0L,自动, 两驱 蓝天探索版
484204,东南汽车,东南DX7,东南DX7驻车系统故障导致故障灯报警,"E159,",2020-06-14,厂家受理,2015,1.5T,自动,  豪华型
484203,吉利汽车,星越,吉利星越车机系统卡顿而且无法进行升级,"H134,O348,",2020-06-14,处理反馈,2019,350T,, 改款 耀星者
484199,东风日产,骐达TIIDA,东风日产骐达羊角及球头生锈腐蚀,"H79,",2020-06-14,处理反馈,2019,1.6L,, CVT 智尊版 国Ⅵ
484198,北京现代,名图,北京现代名图韩泰轮胎有严重的起皮现象,"F186,",2020-06-14,信息审核,2017,1.8L,自动, 智能型 GLS 国V
484197,上汽大众,朗逸,上汽大众朗逸变速箱机电单元损坏,"B334,B84,B115,",2020-06-14,信息审核,2011,1.4TSI,, DSG品轩版
484196,江淮汽车,瑞风S3,江淮瑞风S3安全气囊灯常亮 车身生锈,"H79,H103,",2020-06-14,厂家受理,2016,1.5L,手动, 豪华智能尊享版
484195,东风标致,标致4008,东风标致4008服务站未将保养记录上传,"J299,",2020-06-14,信息审核,2017,350THP,, 精英版
484193,雷克萨斯,雷克萨斯NX,雷克萨斯NX制动系统失灵 发动机性能下降,"A24,A34,H170,",2020-06-14,信息审核,2020,,, 300h 前驱 锋尚版 国VI
484192,东风标致,标致308,东风标致308换挡顿挫 雪地模式和S挡闪烁,"B19,B96,B84,",2020-06-14,信息审核,2013,1.6L,自动, 优尚陈坤出色版
484191,领克汽车,领克01,领克01前半轴和球笼生锈 大灯起雾,"H79,H88,",2020-06-14,处理反馈,2017,2.0T,自动, 两驱 型 Pro
484190,东风雪铁龙,雪铁龙C4L,东风雪铁龙C4L气门室盖垫漏油 发动机烧机油,"A12,A63,A45,",2020-06-14,处理反馈,2013,1.6THP,自动, 劲智版
484187,一汽马自达,阿特兹,一汽马自达阿特兹B柱异响 中控异响,"H93,H15,",2020-06-14,信息审核,2020,2.5L,, 蓝天尊崇版
484185,奇瑞汽车,艾瑞泽EX,奇瑞艾瑞泽EX天窗异响一直未得到解决,"H89,",2020-06-14,处理反馈,2019,1.5L,, CVT 乐活版 国V
484184,北京现代,悦纳,北京现代悦纳前机盖内侧掉漆希望厂家处理,"H81,",2020-06-14,信息审核,2020,1.4L,, CVT 炫酷版GLS
484183,北京现代,朗动,北京现代朗动中控黑屏无法正常使用,"H134,",2020-06-14,信息审核,2015,1.6L,自动, 领先型
484182,东风标致,标致408,东风标致408固特异轮胎开裂 轮毂氧化,"F100,H243,",2020-06-14,处理反馈,2015,1.2T,自动, 豪华版
484181,一汽-大众,探岳,一汽大众探岳大灯透镜有指纹影响行车安全,"H82,",2020-06-14,厂家受理,2019,330TSI,, 两驱 豪华型 国Ⅵ
484180,吉利汽车,星越,吉利星越车机卡顿死机 前悬挂异响,"G56,G204,H134,M279,",2020-06-14,处理反馈,2019,350T,, 改款 驭星者AWD
484176,广汽三菱,欧蓝德,广汽三菱欧蓝德左后方安全带无法抽出,"H118,",2020-06-14,厂家受理,2019,2.0L,, 两驱 畅享版 5座 国VI
484174,长安汽车,长安欧尚X7,长安欧尚X7保养规定售后人员未履行,"L314,",2020-06-14,厂家受理,2020,1.5T,自动, 豪华型
484173,一汽-大众,速腾,大众速腾胎压监测故障维修人员操作不规范,"H203,J303,J299,",2020-06-14,厂家受理,2018,1.6L,自动, 舒适型
484172,知豆电动车,知豆D2,知豆D2动力电池故障 无配件更换,"H343,N318,",2020-06-14,信息审核,2015,,, D2
484168,一汽马自达,阿特兹,一汽马自达阿特兹行驶中B柱异响,"H15,",2020-06-14,信息审核,2020,2.5L,, 蓝天尊崇版
484167,一汽丰田,威驰,一汽丰田威驰排气管抖动异响维修后未解决,"H31,",2020-06-14,信息审核,2017,1.5L,, CVT 创行版
484166,东风标致,标致408,东风标致408行驶中后桥异响严重,"G158,",2020-06-14,处理反馈,2014,1.8L,自动, 豪华版
484164,一汽丰田,RAV4荣放,一汽丰田RAV4荣放缴纳保险费后未上保险,"L313,",2020-06-14,信息审核,2020,2.0L,, CVT 两驱 风尚版
484161,一汽-大众,宝来,一汽大众宝来加速时抖动 变速箱异响,"B33,B95,",2020-06-14,厂家受理,2020,1.5L,自动, 精英型
484160,一汽-大众,探岳,一汽大众探岳大灯不亮变速箱顿挫雨刮器异响,"B19,H82,H60,",2020-06-14,厂家受理,2019,330TSI,, 两驱 豪华型 国Ⅵ
484157,一汽马自达,阿特兹,一汽马自达阿特兹AB柱异响 中控异响 车顶异响,"H93,H15,",2020-06-14,信息审核,2020,2.5L,, 蓝天尊崇版
484156,吉利汽车,缤越,吉利缤越高速中门窗漏风车机系统无法升级,"H144,M279,O348,",2020-06-14,处理反馈,2019,260T,, DCT 骑士 国VI
484154,吉利汽车,博瑞,吉利博瑞事故维修处理不到位服务承诺未兑现,"J303,L314,",2020-06-14,处理反馈,2018,,, MHEV 耀智版
484153,一汽-大众,速腾,一汽大众速腾变速箱刹车异响希望厂家处理,"B33,B95,E43,H101,",2020-06-14,厂家受理,2019,280TSI,, DSG 舒适型 国VI
484152,一汽-大众,速腾,一汽大众速腾佳通轮胎表面有开裂的现象,"F100,",2020-06-14,厂家受理,2018,1.6L,自动, 舒适型
484145,北京现代,菲斯塔,北京现代菲斯塔左前门翼子板与前门不平,"H209,",2020-06-14,信息审核,2019,,, 280TGDi 智享版 国VI
484143,长安马自达,马自达3 昂克赛拉,长安马自达昂克赛拉中控屏幕容易脱胶,"H134,H168,",2020-06-14,信息审核,2016,1.5L,自动, 豪华型 三厢
484142,东风雷诺,科雷嘉,东风雷诺科雷嘉车联网服务私自关停,"L313,",2020-06-14,信息审核,2019,,自动, SCe200 两驱 智悦型 周年版 国VI
484141,众泰汽车,众泰SR9,众泰SR9变速箱挂挡不走厂家无配件更换,"B334,N318,",2020-06-14,处理反馈,2017,2.0T,自动, 极致之巅版
484140,东风日产,天籁,东风日产天籁发动机漏油希望厂家处理问题,"A12,",2020-06-14,处理反馈,2019,2.0L,, XL Upper 智行版
484139,东风雪铁龙,世嘉,东风雪铁龙世嘉油表指示针不准希望厂家处理,"H202,",2020-06-14,处理反馈,2014,1.6L,手动, 品尚型
484138,北汽新能源,北汽新能源EU,北汽新能源EU系列动力电池连接器腐蚀,"H79,H343,",2020-06-14,处理反馈,2017,,, EU260 乐途plus版
484136,东风标致,标致408,东风标致408保险杠和后备箱连接处脱离,"H168,",2020-06-14,处理反馈,2015,1.2T,自动, 豪华版
484135,广汽本田,雅阁,广汽本田雅阁LED日行灯不亮存在质量问题,"H82,",2020-06-14,处理反馈,2016,2.0L,, CVT 精英版
484134,一汽马自达,阿特兹,一汽马自达阿特兹轮毂严重掉漆要求解决,"H243,",2020-06-14,信息审核,2018,2.5L,, 蓝天运动版 国V
484132,沃尔沃亚太,沃尔沃S60,亚太沃尔沃S60空调不出风存在安全隐患,"H101,",2020-06-14,信息审核,2017,1.5T,, T3 智进版
484131,奇瑞汽车,艾瑞泽5,奇瑞艾瑞泽5慢速转向时方向盘异响,"D59,",2020-06-14,处理反馈,2017,1.5L,手动, 领潮版
484130,一汽-大众,速腾,一汽大众速腾ABS传感器故障希望处理,"H234,",2020-06-14,厂家受理,2015,1.6L,自动,  舒适型
484127,华晨中华,中华V6,中华V6方向盘异响 抖动 卡滞 4S店不处理,"D59,D123,D80,I295,",2020-06-14,信息审核,2018,1.5T,手动, 尊贵型
484124,上汽大众,朗逸,上汽大众朗逸韩泰轮胎开裂影响行车安全,"F100,",2020-06-14,信息审核,2017,1.6L,手动, 风尚版
484123,东风日产,天籁,东风日产天籁仪表盘开裂 4S店不予索赔,"H168,I297,",2020-06-14,处理反馈,2016,2.0L,, XL 舒适版 改款
484121,东风标致,标致408,东风标致408油箱漏油 4S店维修无配件,"H75,N318,",2020-06-14,处理反馈,2015,1.2T,自动, 豪华版
484115,上汽大众,途昂,上汽大众途昂轮毂腐蚀严重4S店不予解决,"H243,I295,",2020-06-14,信息审核,2017,330TSI,, 两驱 豪华版
484111,北京现代,菲斯塔,北京现代菲斯塔发动机熄火存在质量问题,"A14,",2020-06-14,信息审核,2019,,, 280TGDi 智享版 国VI
484110,东风雪铁龙,雪铁龙C5,东风雪铁龙C5密封条脱落更换后再次脱落,"B19,E43,H72,H48,J303,",2020-06-14,用户评分,2014,1.6THP,自动, 尊享型
484108,吉利汽车,星越,吉利星越前悬挂系统异响严重希望厂家解决,"G204,",2020-06-14,处理反馈,2019,350T,, 耀星者
484106,上汽集团,名爵6,上汽名爵6刹车分泵螺栓未固定 售后服务差,"E43,J301,J304,",2020-06-14,处理反馈,2018,20T,自动, Trophy超级运动互联网版 国VI
